date,state,Cases 24hr,Cases % 24hr,Deaths 24hr,Deaths % 24hr ,Tests 24hr,Positive Tests 24hr,Total Recovered,Total Active Infections,Total Cases,Total Deaths
5-25-2020,AK,1,0.245%,0,0%,965,0.104%,361,38,409,10
5-24-2020,AK,0,0%,0,0%,1156,0%,358,40,408,10
5-23-2020,AK,4,0.99%,0,0%,905,0.442%,358,40,408,10
5-22-2020,AK,2,0.498%,0,0%,1901,0.105%,356,38,404,10
5-21-2020,AK,0,0%,0,0%,2500,0%,356,36,402,10
5-20-2020,AK,3,0.752%,0,0%,665,0.451%,352,40,402,10
5-19-2020,AK,0,0%,0,0%,769,0%,348,41,399,10
5-18-2020,AK,3,0.758%,0,0%,960,0.313%,345,44,399,10
5-17-2020,AK,4,1.02%,0,0%,1370,0.292%,344,42,396,10
5-16-2020,AK,4,1.031%,0,0%,863,0.463%,344,38,392,10
5-15-2020,AK,1,0.258%,0,0%,656,0.152%,343,35,388,10
5-14-2020,AK,4,1.044%,0,0%,1113,0.359%,339,38,387,10
5-13-2020,AK,0,0%,0,0%,688,0%,338,35,383,10
5-12-2020,AK,2,0.525%,0,0%,1281,0.156%,334,39,383,10
5-11-2020,AK,2,0.528%,0,0%,1316,0.152%,328,43,381,10
5-10-2020,AK,1,0.265%,0,0%,915,0.109%,324,45,379,10
5-9-2020,AK,1,0.265%,0,0%,976,0.102%,318,50,378,10
5-8-2020,AK,3,0.802%,0,0%,1132,0.265%,305,62,377,10
5-7-2020,AK,2,0.538%,0,0%,686,0.292%,291,73,374,10
5-6-2020,AK,1,0.27%,1,11.111%,963,0.104%,284,78,372,10
5-5-2020,AK,1,0.27%,0,0%,969,0.103%,277,85,371,9
5-4-2020,AK,2,0.543%,0,0%,145,1.379%,263,98,370,9
5-3-2020,AK,3,0.822%,0,0%,179,1.676%,262,97,368,9
5-2-2020,AK,1,0.275%,0,0%,1074,0.093%,261,95,365,9
5-1-2020,AK,9,2.535%,0,0%,1206,0.746%,254,101,364,9
4-30-2020,AK,0,0%,0,0%,0,0,252,94,355,9
4-29-2020,AK,4,1.14%,0,0%,2030,0.197%,240,106,355,9
4-28-2020,AK,6,1.739%,0,0%,833,0.72%,228,114,351,9
4-27-2020,AK,4,1.173%,0,0%,79,5.063%,218,118,345,9
4-26-2020,AK,2,0.59%,0,0%,445,0.449%,217,115,341,9
4-25-2020,AK,0,0%,0,0%,3451,0%,217,113,339,9
4-24-2020,AK,2,0.593%,0,0%,120,1.667%,208,122,339,9
