date,state,Cases 24hr,Cases % 24hr,Deaths 24hr,Deaths % 24hr ,Tests 24hr,Positive Tests 24hr,Total Recovered,Total Active Infections,Total Cases,Total Deaths
4-23-2020,AK,2,0.597%,0,0%,2,100%,209,119,337,9
4-22-2020,AK,6,1.824%,0,0%,1040,0.577%,196,130,335,9
4-21-2020,AK,8,2.492%,0,0%,995,0.804%,168,152,329,9
4-20-2020,AK,2,0.627%,0,0%,229,0.873%,161,151,321,9
4-19-2020,AK,5,1.592%,0,0%,240,2.083%,153,157,319,9
4-18-2020,AK,5,1.618%,0,0%,205,2.439%,147,158,314,9
4-17-2020,AK,9,3%,0,0%,715,1.259%,128,172,309,9
4-16-2020,AK,7,2.389%,0,0%,71,9.859%,110,181,300,9
4-15-2020,AK,8,2.807%,0,0%,316,2.532%,106,178,293,9
4-14-2020,AK,8,2.888%,1,12.5%,518,1.544%,98,178,285,9
4-13-2020,AK,5,1.838%,0,0%,-208,-2.404%,85,184,277,8
4-12-2020,AK,15,5.837%,0,0%,306,4.902%,66,198,272,8
4-11-2020,AK,11,4.472%,1,14.286%,300,3.667%,63,186,257,8
4-10-2020,AK,11,4.681%,0,0%,209,5.263%,55,184,246,7
4-9-2020,AK,9,3.982%,0,0%,155,5.806%,49,179,235,7
4-8-2020,AK,13,6.103%,1,16.667%,155,8.387%,32,187,226,7
4-7-2020,AK,22,11.518%,0,0%,30,73.333%,29,178,213,6
4-6-2020,AK,6,3.243%,0,0%,599,1.002%,,185,191,6
4-5-2020,AK,14,8.187%,1,20%,244,5.738%,,179,185,6
4-4-2020,AK,14,8.917%,2,66.667%,24,58.333%,,166,171,5
4-3-2020,AK,14,9.79%,0,0%,994,1.408%,,154,157,3
4-2-2020,AK,10,7.519%,0,0%,419,2.387%,,140,143,3
4-1-2020,AK,14,11.765%,0,0%,890,1.573%,,130,133,3
3-31-2020,AK,5,4.386%,0,0%,59,8.475%,,116,119,3
3-30-2020,AK,12,11.765%,1,50%,320,3.75%,,111,114,3
3-29-2020,AK,17,20%,0,0%,413,4.116%,,100,102,2
3-28-2020,AK,16,23.188%,1,100%,533,3.002%,,83,85,2
3-27-2020,AK,10,16.949%,0,0%,528,1.894%,,68,69,1
3-26-2020,AK,17,40.476%,0,0%,169,10.059%,,58,59,1
3-25-2020,AK,6,16.667%,1,Infinity%,669,0.897%,,41,42,1
3-24-2020,AK,14,63.636%,0,0,54,25.926%,,36,36,0
3-23-2020,AK,0,0%,0,0,0,0,,22,22,0
3-22-2020,AK,8,57.143%,0,0,196,4.082%,,22,22,0
3-21-2020,AK,2,16.667%,0,0,74,2.703%,,14,14,0
3-20-2020,AK,6,100%,0,0,260,2.308%,,12,12,0
3-19-2020,AK,0,0%,0,0,26,0%,,6,6,0
3-18-2020,AK,3,100%,0,0,75,4%,,6,6,0
3-17-2020,AK,2,200%,0,0,193,1.036%,,3,3,0
3-16-2020,AK,0,0%,0,0,0,0,,1,1,0
3-15-2020,AK,0,0%,0,0,0,0,,1,1,0
3-14-2020,AK,0,0%,0,0,84,0%,,1,1,0
3-13-2020,AK,1,Infinity%,0,0,14,7.143%,,1,1,0
3-12-2020,AK,0,0,0,0,0,0,,0,0,0
3-11-2020,AK,0,0,0,0,23,0%,,0,0,0
3-10-2020,AK,0,0,0,0,0,0,,0,0,0
3-9-2020,AK,0,0,0,0,9,0%,,0,0,0
3-8-2020,AK,0,0,0,0,2,0%,,0,0,0
3-7-2020,AK,0,0,0,0,4,0%,,0,0,0
3-6-2020,AK,,0,,0,,0,,0,0,0
5-25-2020,CT,405,1.001%,49,1.327%,7590,5.336%,7127,30004,40873,3742
5-24-2020,CT,446,1.114%,18,0.49%,5769,7.731%,7127,29648,40468,3693
5-23-2020,CT,382,0.964%,38,1.045%,6039,6.326%,7127,29220,40022,3675
5-22-2020,CT,432,1.102%,55,1.535%,5881,7.346%,7127,28876,39640,3637
5-21-2020,CT,191,0.49%,53,1.502%,5729,3.334%,6264,29362,39208,3582
5-20-2020,CT,587,1.527%,57,1.642%,5198,11.293%,6264,29224,39017,3529
5-19-2020,CT,314,0.824%,23,0.667%,7841,4.005%,6264,28694,38430,3472
5-18-2020,CT,697,1.863%,41,1.203%,7072,9.856%,6264,28403,38116,3449
5-17-2020,CT,716,1.951%,69,2.066%,5852,12.235%,6264,27747,37419,3408
5-16-2020,CT,618,1.713%,54,1.644%,8847,6.985%,6264,27100,36703,3339
5-15-2020,CT,621,1.751%,66,2.05%,6346,9.786%,6264,26536,36085,3285
5-14-2020,CT,609,1.747%,94,3.008%,6619,9.201%,6264,25981,35464,3219
5-13-2020,CT,522,1.52%,84,2.762%,4519,11.551%,5413,26317,34855,3125
5-12-2020,CT,568,1.682%,33,1.097%,5916,9.601%,5413,25879,34333,3041
5-11-2020,CT,211,0.629%,41,1.382%,2316,9.111%,5413,25344,33765,3008
5-10-2020,CT,570,1.728%,35,1.194%,6623,8.606%,5413,25174,33554,2967
5-9-2020,CT,573,1.768%,58,2.018%,3028,18.923%,5413,24639,32984,2932
5-8-2020,CT,627,1.973%,77,2.753%,4367,14.358%,5413,24124,32411,2874
5-7-2020,CT,789,2.546%,79,2.907%,4727,16.691%,5413,23574,31784,2797
5-6-2020,CT,374,1.221%,85,3.228%,2804,13.338%,4346,23931,30995,2718
5-5-2020,CT,1334,4.555%,138,5.531%,6150,21.691%,4346,23642,30621,2633
5-4-2020,CT,0,0%,59,2.422%,0,0,4346,22446,29287,2495
5-3-2020,CT,523,1.818%,97,4.147%,2236,23.39%,4346,22505,29287,2436
5-2-2020,CT,0,0%,0,0%,0,0,4346,22079,28764,2339
5-1-2020,CT,1064,3.841%,82,3.633%,3124,34.059%,4346,22079,28764,2339
4-30-2020,CT,933,3.486%,89,4.105%,2315,40.302%,,25443,27700,2257
4-29-2020,CT,455,1.729%,79,3.782%,2073,21.949%,,24599,26767,2168
4-28-2020,CT,1043,4.128%,91,4.555%,12934,8.064%,,24223,26312,2089
4-27-2020,CT,0,0%,74,3.846%,0,0,,23271,25269,1998
4-26-2020,CT,687,2.795%,62,3.33%,2209,31.1%,,23345,25269,1924
4-25-2020,CT,661,2.763%,98,5.556%,3564,18.547%,,22720,24582,1862
4-24-2020,CT,821,3.554%,125,7.627%,2541,32.31%,,22157,23921,1764
4-23-2020,CT,631,2.808%,95,6.153%,1579,39.962%,,21461,23100,1639
4-22-2020,CT,2109,10.359%,121,8.503%,5726,36.832%,,20925,22469,1544
4-21-2020,CT,545,2.75%,92,6.912%,1386,39.322%,,18937,20360,1423
4-20-2020,CT,2265,12.906%,245,22.56%,4593,49.314%,,18484,19815,1331
4-19-2020,CT,741,4.408%,50,4.826%,2751,26.936%,,16464,17550,1086
4-18-2020,CT,0,0%,0,0%,0,0,,15773,16809,1036
4-17-2020,CT,925,5.823%,65,6.694%,2340,39.53%,,15773,16809,1036
4-16-2020,CT,1129,7.652%,103,11.866%,2979,37.899%,,14913,15884,971
4-15-2020,CT,766,5.476%,197,29.359%,4302,17.806%,,13887,14755,868
4-14-2020,CT,608,4.544%,69,11.462%,1532,39.687%,,13318,13989,671
4-13-2020,CT,1346,11.184%,48,8.664%,3089,43.574%,,12779,13381,602
4-12-2020,CT,525,4.561%,60,12.146%,1389,37.797%,,11481,12035,554
4-11-2020,CT,972,9.224%,46,10.268%,3543,27.434%,,11016,11510,494
4-10-2020,CT,754,7.706%,68,17.895%,2786,27.064%,,10090,10538,448
4-9-2020,CT,2003,25.742%,103,37.184%,4466,44.85%,,9404,9784,380
4-8-2020,CT,0,0%,0,0%,0,0,,7504,7781,277
4-7-2020,CT,875,12.67%,71,34.466%,2350,37.234%,,7504,7781,277
4-6-2020,CT,1231,21.692%,17,8.995%,3416,36.036%,,6700,6906,206
4-5-2020,CT,399,7.563%,24,14.545%,1241,32.151%,,5486,5675,189
4-4-2020,CT,362,7.367%,34,25.954%,2014,17.974%,,5111,5276,165
4-3-2020,CT,1090,28.504%,19,16.964%,1715,63.557%,,4783,4914,131
4-2-2020,CT,267,7.506%,27,31.765%,1700,15.706%,,3712,3824,112
4-1-2020,CT,429,13.715%,16,23.188%,443,96.84%,,3472,3557,85
3-31-2020,CT,557,21.665%,33,91.667%,1557,35.774%,,3059,3128,69
3-30-2020,CT,578,29.002%,2,5.882%,2700,21.407%,,2535,2571,36
3-29-2020,CT,702,54.376%,7,25.926%,3500,20.057%,,1959,1993,34
3-28-2020,CT,0,0%,0,0%,0,0,,1264,1291,27
3-27-2020,CT,279,27.569%,6,28.571%,1763,15.825%,,1264,1291,27
3-26-2020,CT,137,15.657%,2,10.526%,739,18.539%,,991,1012,21
3-25-2020,CT,257,41.586%,7,58.333%,598,42.977%,,856,875,19
3-24-2020,CT,203,48.916%,2,20%,800,25.375%,,606,618,12
3-23-2020,CT,192,86.099%,5,100%,1400,13.714%,,405,415,10
3-22-2020,CT,29,14.948%,1,25%,800,3.625%,,218,223,5
3-21-2020,CT,0,0%,1,33.333%,1502,0%,,190,194,4
3-20-2020,CT,98,102.083%,2,200%,98,100%,,191,194,3
3-19-2020,CT,28,41.176%,1,Infinity%,507,5.523%,,95,96,1
3-18-2020,CT,27,65.854%,0,0,27,100%,,68,68,
3-17-2020,CT,15,57.692%,0,0,15,100%,,41,41,
3-16-2020,CT,6,30%,0,0,6,100%,,26,26,
3-15-2020,CT,9,81.818%,0,0,9,100%,,20,20,
3-14-2020,CT,5,83.333%,0,0,31,16.129%,,11,11,
3-13-2020,CT,0,0%,0,0,10,0%,,6,6,
3-12-2020,CT,3,100%,0,0,21,14.286%,,6,6,
3-11-2020,CT,1,50%,0,0,18,5.556%,,NaN,3,
3-10-2020,CT,1,100%,0,0,9,11.111%,,NaN,2,
3-9-2020,CT,0,0%,0,0,17,0%,,NaN,1,
3-8-2020,CT,1,Infinity%,0,0,30,3.333%,,NaN,1,
3-7-2020,CT,,0,,0,,0,,NaN,0,
5-25-2020,NY,1249,0.345%,97,0.415%,39623,3.152%,64280,274996,362764,23488
5-24-2020,NY,1589,0.441%,109,0.468%,47765,3.327%,64080,274044,361515,23391
5-23-2020,NY,1772,0.495%,87,0.375%,51268,3.456%,63292,273352,359926,23282
5-22-2020,NY,1696,0.476%,112,0.485%,45738,3.708%,63292,271667,358154,23195
5-21-2020,NY,2088,0.589%,107,0.466%,49219,4.242%,62826,270549,356458,23083
5-20-2020,NY,1525,0.432%,133,0.582%,38097,4.003%,61886,269508,354370,22976
5-19-2020,NY,1474,0.419%,114,0.502%,28182,5.23%,61886,268116,352845,22843
5-18-2020,NY,1250,0.357%,110,0.486%,26161,4.778%,61681,266961,351371,22729
5-17-2020,NY,1889,0.542%,141,0.627%,34679,5.447%,61381,266121,350121,22619
5-16-2020,NY,2419,0.7%,174,0.78%,40669,5.948%,60796,264958,348232,22478
5-15-2020,NY,2762,0.805%,134,0.604%,39291,7.03%,60302,263207,345813,22304
5-14-2020,NY,2390,0.702%,157,0.713%,39850,5.997%,59758,261123,343051,22170
5-13-2020,NY,2176,0.643%,168,0.769%,33794,6.439%,59193,259455,340661,22013
5-12-2020,NY,1430,0.424%,205,0.947%,20462,6.989%,58679,257961,338485,21845
5-11-2020,NY,1660,0.495%,162,0.754%,21653,7.666%,58363,257052,337055,21640
5-10-2020,NY,2273,0.682%,207,0.973%,29230,7.776%,58006,255911,335395,21478
5-9-2020,NY,2715,0.822%,226,1.074%,32225,8.425%,57180,254671,333122,21271
5-8-2020,NY,2758,0.842%,217,1.042%,31627,8.72%,56378,252984,330407,21045
5-7-2020,NY,3671,1.133%,951,4.784%,33995,10.799%,55547,251274,327649,20828
5-6-2020,NY,2786,0.867%,232,1.181%,27022,10.31%,54597,249504,323978,19877
5-5-2020,NY,2239,0.702%,230,1.185%,21589,10.371%,58950,242597,321192,19645
5-4-2020,NY,2538,0.802%,226,1.178%,21399,11.86%,58950,240588,318953,19415
5-3-2020,NY,3438,1.098%,280,1.481%,26840,12.809%,58950,238276,316415,19189
5-2-2020,NY,4663,1.512%,299,1.607%,31633,14.741%,57540,236528,312977,18909
5-1-2020,NY,3942,1.295%,289,1.577%,26802,14.708%,56187,233517,308314,18610
4-30-2020,NY,4681,1.562%,306,1.699%,28155,16.626%,54771,231280,304372,18321
4-29-2020,NY,4585,1.554%,377,2.137%,27487,16.681%,53238,228438,299691,18015
4-28-2020,NY,3110,1.065%,335,1.936%,18899,16.456%,51673,225795,295106,17638
4-27-2020,NY,3951,1.372%,337,1.986%,20745,19.046%,50751,223942,291996,17303
4-26-2020,NY,5902,2.092%,367,2.211%,27782,21.244%,49687,221392,288045,16966
4-25-2020,NY,10553,3.886%,437,2.704%,46912,22.495%,47935,217609,282143,16599
4-24-2020,NY,8130,3.086%,422,2.681%,34736,23.405%,46156,209272,271590,16162
4-23-2020,NY,6244,2.428%,438,2.862%,25938,24.073%,44244,203476,263460,15740
4-22-2020,NY,5526,2.196%,474,3.197%,20657,26.751%,42308,199606,257216,15302
4-21-2020,NY,4178,1.688%,481,3.353%,15464,27.018%,40482,196380,251690,14828
4-20-2020,NY,4726,1.947%,478,3.447%,16306,28.983%,39085,194080,247512,14347
4-19-2020,NY,6054,2.557%,507,3.794%,21023,28.797%,37596,191321,242786,13869
4-18-2020,NY,7090,3.087%,540,4.212%,23309,30.417%,35458,187912,236732,13362
4-17-2020,NY,7358,3.31%,630,5.167%,22644,32.494%,33392,183428,229642,12822
4-16-2020,NY,8505,3.978%,606,5.23%,24567,34.62%,30800,179292,222284,12192
4-15-2020,NY,11571,5.722%,752,6.941%,26869,43.064%,28004,174189,213779,11586
4-14-2020,NY,7177,3.68%,778,7.737%,20786,34.528%,25589,165785,202208,10834
4-13-2020,NY,6337,3.358%,671,7.15%,16756,37.819%,23887,161088,195031,10056
4-12-2020,NY,8236,4.564%,758,8.786%,20621,39.94%,23887,155422,188694,9385
4-11-2020,NY,9946,5.833%,783,9.982%,23095,43.066%,22025,149806,180458,8627
4-10-2020,NY,10575,6.612%,777,10.995%,26336,40.154%,20249,142419,170512,7844
4-9-2020,NY,10621,7.113%,799,12.747%,26396,40.237%,18297,134573,159937,7067
4-8-2020,NY,10453,7.528%,779,14.192%,25095,41.654%,16353,126695,149316,6268
4-7-2020,NY,8174,6.255%,731,15.364%,19247,42.469%,14590,118784,138863,5489
4-6-2020,NY,8658,7.095%,599,14.403%,18531,46.722%,13366,112565,130689,4758
4-5-2020,NY,8327,7.323%,594,16.662%,18659,44.627%,12187,105685,122031,4159
4-4-2020,NY,10841,10.539%,630,21.465%,23101,46.929%,10478,99661,113704,3565
4-3-2020,NY,10482,11.346%,562,23.683%,21555,48.629%,8886,91042,102863,2935
4-2-2020,NY,8669,10.356%,432,22.257%,18085,47.935%,7434,82574,92381,2373
4-1-2020,NY,7917,10.445%,391,25.226%,15694,50.446%,6142,75629,83712,1941
3-31-2020,NY,9298,13.983%,332,27.258%,18718,49.674%,4975,69270,75795,1550
3-30-2020,NY,6984,11.735%,253,26.218%,14108,49.504%,4204,61075,66497,1218
3-29-2020,NY,7195,13.752%,237,32.555%,16426,43.803%,3572,54976,59513,965
3-28-2020,NY,7683,17.213%,209,40.27%,10181,75.464%,2726,48864,52318,728
3-27-2020,NY,7377,19.8%,134,34.805%,23649,31.194%,2045,42071,44635,519
3-26-2020,NY,6447,20.924%,100,35.088%,18625,34.615%,,36873,37258,385
3-25-2020,NY,5146,20.051%,75,35.714%,12209,42.149%,,30526,30811,285
3-24-2020,NY,4790,22.946%,96,84.211%,12981,36.9%,,25455,25665,210
3-23-2020,NY,5707,37.625%,0,0%,16888,33.793%,,20761,20875,114
3-22-2020,NY,4812,46.466%,70,159.091%,15964,30.143%,,15054,15168,114
3-21-2020,NY,3254,45.818%,9,25.714%,13010,25.012%,,10312,10356,44
3-20-2020,NY,2950,71.05%,23,191.667%,10143,29.084%,,7067,7102,35
3-19-2020,NY,1770,74.307%,0,0%,7687,23.026%,,4140,4152,12
3-18-2020,NY,682,40.118%,5,71.429%,7391,9.227%,,2370,2382,12
3-17-2020,NY,750,78.947%,0,0%,1713,43.783%,,1693,1700,7
3-16-2020,NY,221,30.316%,4,133.333%,221,100%,,943,950,7
3-15-2020,NY,205,39.122%,3,Infinity%,1969,10.411%,,726,729,3
3-14-2020,NY,103,24.466%,0,0,103,100%,,524,524,
3-13-2020,NY,205,94.907%,0,0,2892,7.089%,,421,421,
3-12-2020,NY,0,0%,0,0,0,0,,216,216,
3-11-2020,NY,43,24.855%,0,0,43,100%,,NaN,216,
3-10-2020,NY,31,21.831%,0,0,31,100%,,NaN,173,
3-9-2020,NY,37,35.238%,0,0,37,100%,,NaN,142,
3-8-2020,NY,29,38.158%,0,0,29,100%,,NaN,105,
3-7-2020,NY,43,130.303%,0,0,43,100%,,NaN,76,
3-6-2020,NY,11,50%,0,0,27,40.741%,,NaN,33,
3-5-2020,NY,16,266.667%,0,0,44,36.364%,,NaN,22,
3-4-2020,NY,,0,,0,,0,,NaN,6,
5-25-2020,WY,25,3.075%,0,0%,355,7.042%,575,251,838,12
5-24-2020,WY,0,0%,0,0%,0,0,556,245,813,12
5-23-2020,WY,10,1.245%,0,0%,610,1.639%,551,250,813,12
5-22-2020,WY,16,2.033%,1,9.091%,584,2.74%,551,240,803,12
5-21-2020,WY,0,0%,0,0%,0,0,534,242,787,11
5-20-2020,WY,21,2.742%,1,10%,990,2.121%,528,248,787,11
5-19-2020,WY,12,1.592%,2,25%,765,1.569%,504,252,766,10
5-18-2020,WY,0,0%,0,0%,0,0,498,248,754,8
5-17-2020,WY,38,5.307%,1,14.286%,691,5.499%,498,248,754,8
5-16-2020,WY,1,0.14%,0,0%,372,0.269%,496,213,716,7
5-15-2020,WY,14,1.997%,0,0%,592,2.365%,487,221,715,7
5-14-2020,WY,26,3.852%,0,0%,371,7.008%,480,214,701,7
5-13-2020,WY,0,0%,0,0%,0,0,477,191,675,7
5-12-2020,WY,13,1.964%,0,0%,2994,0.434%,477,191,675,7
5-11-2020,WY,1,0.151%,0,0%,1,100%,443,212,662,7
5-10-2020,WY,17,2.64%,0,0%,17,100%,443,211,661,7
5-9-2020,WY,9,1.417%,0,0%,9,100%,438,199,644,7
5-8-2020,WY,4,0.634%,0,0%,4,100%,428,200,635,7
5-7-2020,WY,27,4.47%,0,0%,27,100%,416,208,631,7
5-6-2020,WY,8,1.342%,0,0%,1092,0.733%,409,188,604,7
5-5-2020,WY,10,1.706%,0,0%,461,2.169%,405,184,596,7
5-4-2020,WY,7,1.209%,0,0%,235,2.979%,391,188,586,7
5-3-2020,WY,13,2.297%,0,0%,190,6.842%,391,181,579,7
5-2-2020,WY,7,1.252%,0,0%,334,2.096%,387,172,566,7
5-1-2020,WY,15,2.757%,0,0%,249,6.024%,373,179,559,7
4-30-2020,WY,8,1.493%,0,0%,229,3.493%,371,166,544,7
4-29-2020,WY,147,37.789%,0,0%,602,24.419%,362,167,536,7
4-28-2020,WY,19,5.135%,0,0%,448,4.241%,343,39,389,7
4-27-2020,WY,8,2.21%,0,0%,8,100%,342,21,370,7
4-26-2020,WY,13,3.725%,0,0%,13,100%,334,21,362,7
4-25-2020,WY,0,0%,0,0%,101,0%,321,21,349,7
4-24-2020,WY,23,7.055%,0,0%,478,4.812%,321,21,349,7
4-23-2020,WY,4,1.242%,1,16.667%,-56,-7.143%,275,44,326,7
4-22-2020,WY,2,0.625%,0,0%,2,100%,254,62,322,6
4-21-2020,WY,7,2.236%,4,200%,235,2.979%,237,77,320,6
4-20-2020,WY,4,1.294%,0,0%,105,3.81%,233,78,313,2
4-19-2020,WY,4,1.311%,0,0%,759,0.527%,227,80,309,2
4-18-2020,WY,9,3.041%,0,0%,95,9.474%,206,97,305,2
4-17-2020,WY,0,0%,0,0%,0,0,148,146,296,2
4-16-2020,WY,9,3.136%,0,0%,98,9.184%,148,146,296,2
4-15-2020,WY,12,4.364%,1,100%,365,3.288%,129,156,287,2
4-14-2020,WY,0,0%,0,0%,0,0,140,134,275,1
4-13-2020,WY,14,5.364%,1,Infinity%,505,2.772%,138,136,275,1
4-12-2020,WY,0,0%,0,0,0,0,137,124,261,0
4-11-2020,WY,8,3.162%,0,0,470,1.702%,129,132,261,0
4-10-2020,WY,23,10%,0,0,839,2.741%,105,148,253,0
4-9-2020,WY,9,4.072%,0,0,86,10.465%,94,136,230,0
4-8-2020,WY,5,2.315%,0,0,59,8.475%,62,159,221,0
4-7-2020,WY,6,2.857%,0,0,76,7.895%,62,154,216,0
4-6-2020,WY,13,6.599%,0,0,692,1.879%,52,158,210,0
4-5-2020,WY,10,5.348%,0,0,105,9.524%,50,147,197,0
4-4-2020,WY,25,15.432%,0,0,266,9.398%,49,138,187,0
4-3-2020,WY,12,8%,0,0,277,4.332%,37,125,162,0
4-2-2020,WY,20,15.385%,0,0,241,8.299%,31,119,150,0
4-1-2020,WY,21,19.266%,0,0,240,8.75%,31,99,130,0
3-31-2020,WY,15,15.957%,0,0,174,8.621%,26,83,109,0
3-30-2020,WY,8,9.302%,0,0,294,2.721%,24,70,94,0
3-29-2020,WY,4,4.878%,0,0,83,4.819%,20,66,86,0
3-28-2020,WY,12,17.143%,0,0,276,4.348%,18,64,82,0
3-27-2020,WY,17,32.075%,0,0,176,9.659%,17,53,70,0
3-26-2020,WY,9,20.455%,0,0,107,8.411%,12,41,53,
3-25-2020,WY,15,51.724%,0,0,259,5.792%,7,37,44,
3-24-2020,WY,3,11.538%,0,0,121,2.479%,,29,29,
3-23-2020,WY,2,8.333%,0,0,156,1.282%,,26,26,
3-22-2020,WY,1,4.348%,0,0,1,100%,,24,24,
3-21-2020,WY,4,21.053%,0,0,111,3.604%,,23,23,
3-20-2020,WY,1,5.556%,0,0,61,1.639%,,19,19,
3-19-2020,WY,3,20%,0,0,96,3.125%,,18,18,
3-18-2020,WY,5,50%,0,0,88,5.682%,,15,15,
3-17-2020,WY,7,233.333%,0,0,102,6.863%,,10,10,
3-16-2020,WY,0,0%,0,0,0,0,,3,3,
3-15-2020,WY,1,50%,0,0,1,100%,,3,3,
3-14-2020,WY,1,100%,0,0,1,100%,,2,2,
3-13-2020,WY,0,0%,0,0,0,0,,1,1,
3-12-2020,WY,1,Infinity%,0,0,1,100%,,1,1,
3-11-2020,WY,0,0,0,0,0,0,,NaN,0,
3-10-2020,WY,0,0,0,0,0,0,,NaN,0,
3-9-2020,WY,0,0,0,0,0,0,,NaN,0,
3-8-2020,WY,0,0,0,0,0,0,,NaN,0,
3-7-2020,WY,,0,,0,,0,,NaN,0,
5-25-2020,CO,210,0.876%,5,0.377%,257,81.712%,3666,19176,24174,1332
5-24-2020,CO,477,2.031%,3,0.227%,5099,9.355%,3640,18997,23964,1327
5-23-2020,CO,296,1.276%,14,1.069%,2727,10.854%,3612,18551,23487,1324
5-22-2020,CO,394,1.728%,11,0.847%,6614,5.957%,3580,18301,23191,1310
5-21-2020,CO,315,1.401%,42,3.341%,3774,8.347%,3532,17966,22797,1299
5-20-2020,CO,280,1.261%,33,2.696%,504,55.556%,3478,17747,22482,1257
5-19-2020,CO,264,1.203%,9,0.741%,2838,9.302%,3431,17547,22202,1224
5-18-2020,CO,305,1.41%,23,1.93%,2947,10.35%,3346,17377,21938,1215
5-17-2020,CO,401,1.889%,42,3.652%,3708,10.814%,3346,17095,21633,1192
5-16-2020,CO,394,1.891%,59,5.408%,3810,10.341%,3312,16770,21232,1150
5-15-2020,CO,363,1.773%,29,2.731%,3511,10.339%,3217,16530,20838,1091
5-14-2020,CO,318,1.578%,53,5.253%,3269,9.728%,3217,16196,20475,1062
5-13-2020,CO,278,1.398%,22,2.229%,2593,10.721%,3171,15977,20157,1009
5-12-2020,CO,-20,-0.101%,6,0.612%,-133,15.038%,3114,15778,19879,987
5-11-2020,CO,196,0.995%,14,1.448%,4713,4.159%,3076,15842,19899,981
5-10-2020,CO,876,4.653%,7,0.729%,7305,11.992%,3023,15713,19703,967
5-9-2020,CO,26,0.138%,-1,-0.104%,2236,1.163%,2974,14893,18827,960
5-8-2020,CO,971,5.446%,40,4.343%,3189,30.448%,2869,14971,18801,961
5-7-2020,CO,466,2.684%,18,1.993%,5371,8.676%,2869,14040,17830,921
5-6-2020,CO,457,2.703%,52,6.11%,972,47.016%,2801,13660,17364,903
5-5-2020,CO,272,1.635%,9,1.069%,1914,14.211%,2743,13313,16907,851
5-4-2020,CO,410,2.527%,10,1.202%,3184,12.877%,2650,13143,16635,842
5-3-2020,CO,457,2.898%,12,1.463%,2957,15.455%,2607,12786,16225,832
5-2-2020,CO,484,3.167%,43,5.534%,4559,10.616%,2553,12395,15768,820
5-1-2020,CO,526,3.564%,11,1.436%,1331,39.519%,2486,12021,15284,777
4-30-2020,CO,23,0.156%,6,0.789%,1610,1.429%,2415,11577,14758,766
4-29-2020,CO,856,6.168%,54,7.649%,3108,27.542%,2275,11700,14735,760
4-28-2020,CO,438,3.259%,26,3.824%,3067,14.281%,2275,10898,13879,706
4-27-2020,CO,473,3.647%,8,1.19%,3483,13.58%,2150,10611,13441,680
4-26-2020,CO,712,5.809%,-2,-0.297%,3002,23.718%,2150,10146,12968,672
4-25-2020,CO,994,8.826%,122,22.101%,4465,22.262%,2086,9496,12256,674
4-24-2020,CO,384,3.53%,44,8.661%,1679,22.871%,,10710,11262,552
