Date,24 Hour Change,24 Hour % Change,24 Hour Deaths,24 Hour Deaths % Change,24 Hour Tests,24 Hour % Positive Tests,Total Recovered,Total Active Infections,Total Confirmed Cases,Total Deaths
3-26-2020,157,37.11583924349882%,0,0%,157,100%,,576,580,4
3-25-2020,74,21.20343839541547%,1,33.33333333333333%,74,100%,,419,423,4
3-24-2020,61,21.180555555555554%,0,0%,61,100%,,346,349,3
3-23-2020,44,18.0327868852459%,0,0%,44,100%,,285,288,3
3-22-2020,54,28.421052631578945%,1,50%,54,100%,,241,244,3
3-21-2020,41,27.516778523489933%,1,100%,41,100%,,188,190,2
3-20-2020,42,39.25233644859813%,0,0%,42,100%,,148,149,1
3-19-2020,22,25.882352941176475%,1,Infinity%,22,100%,,106,107,1
3-18-2020,28,49.122807017543856%,0,NaN%,28,100%,,85,85,
3-17-2020,20,54.054054054054056%,0,NaN%,20,100%,,57,57,
3-16-2020,6,19.35483870967742%,0,NaN%,6,100%,,37,37,
3-15-2020,5,19.230769230769234%,0,NaN%,5,100%,,31,31,
3-14-2020,9,52.94117647058824%,0,NaN%,9,100%,,26,26,
3-13-2020,5,41.66666666666667%,0,NaN%,5,100%,,17,17,
3-12-2020,3,33.33333333333333%,0,NaN%,3,100%,,12,12,
3-11-2020,3,50%,0,NaN%,8,37.5%,,NaN,9,
3-10-2020,1,20%,0,NaN%,17,5.88235294117647%,,NaN,6,
3-9-2020,2,66.66666666666666%,0,NaN%,23,8.695652173913043%,,NaN,5,
3-8-2020,0,0%,0,NaN%,11,0%,,NaN,3,
3-7-2020,0,0%,0,NaN%,15,0%,,NaN,3,
3-6-2020,3,Infinity%,0,NaN%,12,25%,,NaN,3,
3-5-2020,,NaN%,,NaN%,,NaN%,,NaN,0,
